Country Name,reduced_cotwo_emi,Year,Value,Indicator Name
Poland,0,2000,2320.37671815161,en_use
Portugal,1,2000,2390.09793877451,en_use
Slovak Republic,1,2000,3292.60900547811,en_use
Slovenia,1,2000,3224.3795014895,en_use
Sweden,1,2000,5360.14514699943,en_use
Turkiye,0,2000,1184.72475091731,en_use
United States,1,2000,8056.86384994775,en_use
Australia,0,2001,5486.05610016985,en_use
Austria,1,2001,3758.45756925295,en_use
Belgium,1,2001,5634.21548679492,en_use
Canada,0,2001,8056.361631554,en_use
Switzerland,1,2001,3673.29257271309,en_use
Chile,0,2001,1590.91909303144,en_use
Colombia,0,2001,645.300483522276,en_use
Costa Rica,0,2001,713.19878358501,en_use
Czechia,1,2001,4111.15248167077,en_use
Germany,0,2001,4209.79608663882,en_use
Denmark,1,2001,3583.95572278258,en_use
Spain,1,2001,3060.88180946621,en_use
Estonia,1,2001,3541.51205051455,en_use
Finland,1,2001,6410.62523419393,en_use
France,1,2001,4245.31594859472,en_use
United Kingdom,1,2001,3784.92817441666,en_use
Greece,1,2001,2578.11210543197,en_use
Hungary,1,2001,2512.67485022934,en_use
Ireland,1,2001,3713.51386863164,en_use
Iceland,0,2001,10589.466185677,en_use
Israel,0,2001,2973.04270849511,en_use
Italy,1,2001,3020.62119454278,en_use
Japan,0,2001,4008.26803199396,en_use
"Korea, Rep.",0,2001,4033.31896845449,en_use
Lithuania,1,2001,2384.74273211675,en_use
Luxembourg,1,2001,7982.8503482249,en_use
Latvia,0,2001,1759.16086549117,en_use
Mexico,0,2001,1562.39611073023,en_use
Netherlands,0,2001,4839.46553011371,en_use
Norway,0,2001,5954.04177146679,en_use
New Zealand,0,2001,4407.61886354851,en_use
Poland,0,2001,2336.44583847825,en_use
Portugal,1,2001,2391.22819274704,en_use
Slovak Republic,1,2001,3456.70547347611,en_use
Slovenia,1,2001,3381.11201469835,en_use
Sweden,1,2001,5680.28048687269,en_use
Turkiye,0,2001,1079.39120621709,en_use
United States,1,2001,7827.88632537183,en_use
Australia,0,2002,5614.26334981772,en_use
Austria,1,2002,3773.65172816435,en_use
Belgium,1,2002,5390.71973335359,en_use
Canada,0,2002,7994.10370781473,en_use
Switzerland,1,2002,3553.74025721943,en_use
Chile,0,2002,1629.15082972309,en_use
Colombia,0,2002,623.028324728921,en_use
Costa Rica,0,2002,737.688602620225,en_use
Czechia,1,2002,4163.45010589476,en_use
Germany,0,2002,4108.40129887204,en_use
Denmark,1,2002,3535.09801372079,en_use
Spain,1,2002,3107.86734112195,en_use
Estonia,1,2002,3415.78062130714,en_use
Finland,1,2002,6728.58140544607,en_use
France,1,2002,4224.71831590388,en_use
United Kingdom,1,2002,3685.86948742657,en_use
Greece,1,2002,2597.7482892623,en_use
Hungary,1,2002,2520.1524657709,en_use
Ireland,1,2002,3661.32224061006,en_use
Iceland,0,2002,10804.6417156193,en_use
Israel,0,2002,2862.79573820396,en_use
Italy,1,2002,3037.2669647055,en_use
Japan,0,2002,3991.97756679352,en_use
"Korea, Rep.",0,2002,4170.47614661985,en_use
Lithuania,1,2002,2574.35333091107,en_use
Luxembourg,1,2002,8204.72684484788,en_use
Latvia,0,2002,1763.25755690158,en_use
Mexico,0,2002,1546.39649159095,en_use
Netherlands,0,2002,4873.26162620444,en_use
Norway,0,2002,5501.11774400148,en_use
New Zealand,0,2002,4337.38052424971,en_use
Poland,0,2002,2314.20257991789,en_use
Portugal,1,2002,2477.48974987694,en_use
Slovak Republic,1,2002,3483.8675061076,en_use
Slovenia,1,2002,3424.45287862303,en_use
Sweden,1,2002,5802.110105168,en_use
Turkiye,0,2002,1124.79175400174,en_use
United States,1,2002,7843.34484914192,en_use
Australia,0,2003,5618.08648429316,en_use
Austria,1,2003,3973.6243266728,en_use
Belgium,1,2003,5590.02597595848,en_use
Canada,0,2003,8341.75622433413,en_use
Switzerland,1,2003,3542.06560266172,en_use
Chile,0,2003,1628.92758434394,en_use
Colombia,0,2003,626.768088518966,en_use
Costa Rica,0,2003,779.293846884766,en_use
Czechia,1,2003,4357.57266187417,en_use
Germany,0,2003,4084.50334562012,en_use
Denmark,1,2003,3727.83417869785,en_use
Spain,1,2003,3157.22726404851,en_use
Estonia,1,2003,3798.03825726625,en_use
Finland,1,2003,7077.0266490748,en_use
France,1,2003,4270.12047004536,en_use
United Kingdom,1,2003,3731.60971819526,en_use
Greece,1,2003,2666.45363728453,en_use
Hungary,1,2003,2580.20749584977,en_use
Ireland,1,2003,3515.09450344437,en_use
Iceland,0,2003,10731.3286428273,en_use
Israel,0,2003,2949.30041705906,en_use
